Name													CRC32		Size
Bazoe! Mahou Sekai (Ancient Magic) [bms].rsn								8DCFB084	185492
Bonkers [bnkr].rsn											0EA3A70D	78602
Bounty Sword [bnts].rsn											5C750ECB	172876
B.O.B. [bob].rsn											211C679B	100388
Bobby's World [bobby].rsn										CB81EB3A	61948
Breath of Fire [bof].rsn										8717CFE2	118387
Breath of Fire 2 [bof2].rsn										ADB72207	177867
Super Bonk [bonk].rsn											3CE40EBD	78646
Boogerman [boog].rsn											0A9002DF	72027
Best of the Best - Championship Karate [botb].rsn							98E1841E	50402
Batman Returns [br].rsn											A62C7F3E	107353
Battle Racers [brace].rsn										0FF8CD75	77539
Brainies [brain].rsn											31F00D18	131612
Brawl Brothers [brawl].rsn										A00EDCA4	74238
Barbarossa [brbr].rsn											9B529EA6	50308
BreakThru! [breakt].rsn											3D698FCF	70512
Batman - Revenge of the Joker [brj].rsn									A7C141D2	37880
Brain Lord [brld].rsn											64A49D8F	123650
Brass Numbers [brnr].rsn										C51F90D0	119987
Bronkie [bronk].rsn											F8A3DADD	94566
Brutal - Paws of Fury [brtl].rsn									3E9AEDEC	66170
Bram Stoker's Dracula [bsd].rsn										1D79F327	137103
BS Dragon Quest [bsdq].rsn										8DE6595C	29530
Beethoven's 2nd [bsec].rsn										0800D33C	53938
Bushi Seiryuden [bshs].rsn										C9D7EA07	134250
Super Baseball Simulator 1.000 [bsim].rsn								93A7E274	29053
Barkley - Shut Up and Jam! [bsj].rsn									98F3A115	109211
Barbie Super Model [bsm].rsn										7D8F8A86	39119
Bishoujo Senshi Sailormoon R [bsmr].rsn									AD312882	321784
BS Nichibutsu Mahjong [bsnm].rsn									D77CCB71	91094
Bishoujo Senshi Sailormoon [bssm].rsn									651D5A9F	232137
BS Saterawalker 2 [bssw2].rsn										04E7DEBB	45970
Big Sky Trooper [bst].rsn										31F90328	109796
Battle Submarine [bsub].rsn										21FB8284	126029
Satellaview BS-X [bsx].rsn										A55B8628	53266
BS Zelda [bsz].rsn											134B3135	48695
Battletoads in Battlemania [btbm].rsn									C948B8A2	59013
Battle Blaze [btbz].rsn											04D9D7C0	90193
Battletoads & Double Dragon [btdd].rsn									D5CDD8E9	70326
Battle Tycoon - Flash Hiders SFX [btfh].rsn								C5650F77	113058
Battle Grand Prix [btgp].rsn										BA218F0F	50189
Gekitotsu Dangan Jidousha Kessen - Battle Mobile [btmb].rsn						ADFF8A73	46965
Battle Pinball [btpb].rsn										12C67587	125460
Baby T-Rex [btrex].rsn											25187AFB	89645
Battle Soccer - Field no Hasha [btsc].rsn								0282D2B6	65322
Battle Soccer 2 [btsc2].rsn										3D4A34E0	107183
A Bug's Life (Super Gameboy) [bug].rsn									243DDF9A	48652
Burai - Hachigyoku no Yuushi Densetsu [burai].rsn							9FC3C508	119394
SNES Burn-in Test Cart [burn].rsn									B68821EA	40391
BS Buster's Digital Magazine [bust].rsn									6E1ABD47	47258
Barbie Vacation Adventure [bva].rsn									B88424AB	62704
Bulls vs. Blazers [bvb].rsn										E891DFB7	104110
Bill Walsh College Football [bwcf].rsn									E71B4F1C	78178
Bishoujo Wrestlinger's History [bwh].rsn								2FA61A47	231571
Brunswick World Tournament of Champions [bwtc].rsn							B9B44874	46367
Battle Zeque Den [bzd].rsn										0401697F	117495
Carrier Aces [cace].rsn											D6E650F4	115041
Cute Angela - Great Journey [cagj].rsn									B73C74B2	53620
Cacoma Knight [cakn].rsn										FCB623A6	61803
Captain Novolin [cano].rsn										B26CB4B0	49251
Captain America and the Avengers [capam].rsn								96E6C24A	102263
Captain Commando [captc].rsn										460C0264	83487
Gekisou Sentai Car Rangers [car].rsn									45B4274C	81248
Cardmaster (Arcana) [card].rsn										3C931A1E	82720
Casper (Japanese Version) [cas].rsn									5B72FF43	69944
Casper (American Version) [casp].rsn									D3963978	54744
Crystal Beans - From Dungeon Explorer [cb].rsn								71320744	144995
Cyborg 009 [cb9].rsn											4EC11009	63354
CB Chara Wars [cbcw].rsn										6D25D5F4	79220
Combatribes [cbtr].rsn											D5048DCC	74246
Chester Cheetah - Too Cool to Fool [cctcf].rsn								83AE9F2C	57914
Cannondale Cup [ccup].rsn										5EB852F3	103837
Chester Cheetah Wild Wild Quest [ccwwq].rsn								6DC0ABAB	55356
